portrait,space_sw
tb.1.936edc7a.5e5tB6jA-9KVqM1XUl3PnQ,倾诉 年底 确诊 整夜 整夜 睡不着 吃不下 一吃 恶心 集中 注意力 稍微 好累 放弃
tb.1.95207534.TOsG0e2wRwhq_J-O_LytIw,无知 典型 代表
tb.1.9592d7db.VbtyFFkeXRolE41CrMxykw,倾诉 新药 三天 复查 药量 以后 复查 不想 医生 昨天晚上 特别 特别 特别 想吞药 自杀
tb.1.9593d234.ko7La-dlYut2CyssbwOwIA,眼睛 差点 同病相怜 内心深处 感受 发泄 情绪 权利 不让 别人 自残 故意 别人 别人 起疑心 送到 医院 三年级 转学 父母 抑郁症 嘻嘻 微笑 抑郁 难受 呵呵 关心 难道 需要 安眠药 睡觉 半夜 喜欢 自残 不想 发现 附和 大不了 不想 孤立 理解 好羡慕 办法 注意 二年 全班 活动 奇怪 认为 发泄 自残 面具 带久 伤心 用来 形容 恰当 开心 难过 嘻嘻
tb.1.970349eb.UYqcZtOUtiZGotoMOsuyTQ,自闭症 患者 愿意 大家 交流 月经不调 掉头发 改善 难过 发泄
tb.1.9787558f.k715PApUAXETwJWWKiPm6w,家里 很想 离开
tb.1.984608ca.ZpjKhDegoHk3ELUJ50P9OA,玩游戏 容易 心情 烦躁 自我 责备
tb.1.9b24335a.ZcZ7mwZQ1tZinUMiITu_fQ,一起 一起 一起
tb.1.9b5e3384.MvLDwC8u4kQLBT46FSM-FA,感觉 医院 描述 疑似 双向 情感 障碍 行为 抑郁症 出入 精分 双向 行为 医生 药物 会手 幻听 痛苦
tb.1.9c1e2eed.c8xLIgSAc0CM33siLPmk8Q,倾诉 抑郁 失眠 吃药 睡眠 感觉 困意 头顶
tb.1.9c72fa14.QUytAoRsHCXYvNNGInoSQg,病情 多种 情况 抑郁症 出现 精神病 症状 双向 情感 障碍 精神分裂 哪种 严重 出现 精神病 症状 医院 住院 不去 强制 急性期 上药 很快 效果 估计 医院 家人 一起 实在 受不了 离婚
tb.1.9ccc587.CYUGvFEFNu7GiIOs4HNE7A,害怕 特别 害怕 上班 公司 办错 业务 公司 赔钱 感觉 上班 状态 不上 经历 借鉴 觉得 上班 特别 痛苦
tb.1.9e001bc3.K4xZfDmrxsP2ZLQLqsJydQ,龙山寺 短期 出家 体验 报名 马上
tb.1.9eb2cf7e.nrEFCV2xMnp3KTbsKPsUbg,回复 左灯 右右 右行 一缸 主治医师 哈哈哈 回复 左灯 右右 右行 心里 没笑 有时候 脸上 心里 总是
tb.1.9eba4251.7EV-IfX7su8QIJVg9S0n6g,世界 善良 世界 不领情 说到底
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,书签 不同 地方 看见 相同 事物 不同 心情 旅途 意义 七夕 愉快 hey 十一 走向 工作 愉快 生活 喜乐 养个 动物 问哈子 为啥 回帖 显示 坐标 不想 自言自语 唱歌 书签 希望 出现 希望 出现 取消 行程 几本书 介绍 本书
tb.1.a116397b.H_7cjKLvWpMs673ZV55yTQ,需要 富马 导致 甲减
tb.1.a1d3e178.dzvW8pVhRYOGbvaPX9s5Yw,小学 高中 成绩 本科 研究生 就读于 一所 重点 专业 全国 排名 高三 那年 换上 抑郁症 离家出走 高考 回来 服药 治疗 本科 压力 过得 比较顺利 保研 本校 发现 科研 实在 无力 研二 抑郁症 复发 申请 休学 未来 不想 继续 硕士学位 不想 恋爱 结婚 人去 陌生 城市 工作 本科学历 参加 校招 谈过 两次 恋爱 发现自己 别人 能力 别人 压力 抑郁症 患者 小学 时期 生活 县城 开心 高中 喜欢 女生 王者 本科 北大 加拿大 留学 关系 绝对 黑暗 日子 一束 阳光 抱抱 顺利 毕业 九月 入职 发帖 基本 痊愈 希望 大家 在家 减肥 堕落 吃药 二十斤 想法 不想 高考 不想 名校 读本 身体 好点 性格 好点 合群 朋友 每天 过得 累点 无所谓 回复 tangqia wanan 不好 活着 重要 需要 基友 方式 活着 文拉法辛
tb.1.a1faa466.gbsAD9jaG7EAyR8p4JkVCQ,高中 经常 熬夜 脑子 每天 混混沌沌 快点 爆照 医生 觉得 抑郁症 矫情 明明 压力 整天 无病呻吟 确实 反感 专科 减肥 减肥 抑郁 搬出来 随时 不用 父母 同意 问题 中国 改革开放 几十年 留守 儿童 寄养 别人 父母 奔赴 外地 生活 坐火车 汽车 需要 面临 风险 懂得 理解 心疼 爸妈 从来 出过 远门 传统 极致 本分 农民 自始至终 很穷 当初 跟着 别人 一起 打工 小说 名字 哥哥 强奸 妹妹 妹妹 初三 别人 母胎 单身 妹妹 半点 性欲 减肥 唯一 出路 玻璃心 庸人自扰 这点 重修 体育 线上 重修 压根 一看 成绩 一门 挂科 大专 落榜 意料之外 假肢 无病呻吟 富婆 别难过 工作 败类 考不考 大学 毕业 接近 工作 经验 觉得 公司 同龄人 脱节 行为 心理 活动 眼里 看来 初中生 区别 自我安慰 体育
tb.1.a24c69cd.IJEfOra1z3C4jN-_-7kRrQ,确诊 中度 抑郁 医生 劳拉 帕罗西 一个多月 帕罗 停药 感觉 脑袋 虫子 因人而异 奉劝 吃药 地步 千万别 吃药 来得及 比较 每天 两片 剂量 用药 期间 感觉 医生 最低 疗程 估计 这药 不好 确实 管用 状态 精神 好转 积极 配合 治疗 方法 树立 独特 人生观 价值观 生命 第一位 相信 很快 精神状态 好多 睡眠 不行 失眠 早醒 噩梦
tb.1.a2ba879f.Z8LycyNuTqYqPcBf6Gp8-w,本人 高一 全班 倒数 抑郁症 难受 有时候 厕所
tb.1.a41fc40e.WfFTlByf9ABY2X8wHugJCg,加油 那加个 vx 说说话 老师 压力 提前 散散心 私聊
tb.1.a46f677e.UAs91deYjfDXp1P09eO6gQ,建议 服药 名字 沙雕 网友
tb.1.a5185bbe.jif5QHetqDHaNRAMm12wHw,朋友 塑料 见过 一大排 女生 手挽手 真是 朋友 演戏 社会 几人 纯洁 友谊 利益 坚强 开点
tb.1.a524f9e9.vwuMySwo53i8H87fyIaJxw,随便 小城 借点 开家 小店 普普通通 一生 活着 晒太阳
tb.1.a5414b5c.Iaz13V7FEeiXeSAnOu3Neg,多久 感觉 明显 起效 第四天 效果 直到现在 进一步 效果 我要 考虑 换药 文拉法辛 失眠 控制 新加 百适 度洛西 文拉法辛 副作用 心慌 手软 作用 状态 轻微 抑郁 伯恩斯 情绪 疗法 抑郁 自查 中午 睡觉 心慌 效果 体现 自主 睡眠 感觉 效果 感觉 效果 感觉 出对 情绪 效果 睡眠 安眠药 十周 状态 咋样 开心 工作 消极怠工 请假 休息 住院 难过 快要 绝望 十周 起效 难过 明显 起效 心焦 微笑 抑郁 会笑 心里 抑郁 痊愈 多久 恢复正常
tb.1.a5ca595e.daBql607eMTJyFnAmHijvQ,倾诉 或许 适合 孤儿 不想 社交 习惯 日夜 颠倒 每天 睡觉 上班 抑郁症 或许 太懒 Sexual addicti 倾诉 越活 孤儿 愿意 聊聊天 倾诉 白天 没什么 精力 无可反驳
tb.1.a7d92ec2.TpAsF5OH728bRom45eXYhA,左匹 克隆 医院 好多 每次 开药 搭配 感觉 依懒性 每次 医院 开药 医生 搭配 没事 家里 四五
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,终究 离开 家庭 因素 失恋 游戏 开放 视野 游戏 几十 骂人 封号 简直 看看书 楼楼 抱抱 焦虑 学不 带你去 精神 卫生 中心 心理医生 面前 摊开 心扉 经历 伤害 回复 见谅 希望 帮助 外卖 烧烤 肠胃炎 家里 做饭 一顿 心里 明天 打点滴 真烦 处境 相似 初三 家里 学习 学校 学习 读书 未来 不曾 想着 未来 生是 偶然 必然 带来 麻烦 深感 抱歉 欠下 东西 无力 偿还 原谅 楼楼 康复 顺利 乐观 一届 中考 开心 中考 家里 学校 狠心 一了百了 最美 结局 希望 加油 中考 金榜题名 quq 想到 一大堆 不想 想到 一大堆 快乐 太难 祝你平安 虚拟 度日 逃避 生活 肚子痛 要死 实在 吃不下 家里 吃饭 肠胃炎 真想 传染给 体验 肠胃炎 滋味 药好 黄连 难受 关键 感觉 假药 药都 一半多 症状 好转 恶心 医院 打点滴 盐水 调节 电解质 第一次 肠胃炎 很少 偶尔 脑子 没想到 孤独 抑郁 关系 游泳 溺水 以后 当个 心理咨询 解救 别人 以此 灵魂 赎罪 总是 扮演者 医生 角色 殊不知 病人 镜子 抑郁 社恐 焦虑 云村 纯音 度过 煎熬 日子 差不多 一届 冠状 耽误 完好
tb.1.a8e6bce7.M0_fabtmo6Ak0S26_XeJzw,医生 觉得 女医生 态度 不好 医生 不好 刚刚 狂躁 发作 就别 我妈 打算 复诊 七天 我妈 觉得 好了吧
tb.1.a98be111.B3qbvguYdn_xnXC4Umyarg,大学 生活 不好 相对 遇到 莫名其妙 恨不得 远离
tb.1.ab0d8296.ksGorAmCXWDqIcST_yYaJw,计划 焦虑症 爸妈 不信 打击 医院 看过 抑郁 父母 焦虑 抑郁 差不多
tb.1.ab16c88.NUyZHzt-Hrn8pFON7fZEiw,准备 烧炭 条件 经济 治疗 抑郁 生活 打算 烧炭 结束 身边 亲人 朋友 远离 道理 逃避 办法 别人 确实 十万块 苟活 准备 回去 种地 直播 坚持 不行 离开 世界 真是 打算 种地 为生 有钱人 那才 田园生活 本来 农民 不得已 回来 种地 住院 清静 地方 调理 一刻 呵呵 百度 说不清
tb.1.abb9394d.gZnxgnWk0AqtHf1F4XWxyw,没钱 钱能 解决 有钱 存在 围着
tb.1.ad1a70d4.-4y7XXFSfsqtVLeyFs0sHQ,加油 啊啊啊 一次次 满怀 期待 一次次 全是 失望 有时候 很想 离开 放下 家庭 我妈 总是 遇到 没出息 希望 健康 身体 看得开 性格 睡会 聊聊天 微信 病友 群里 一起 聊天 感觉 温馨
tb.1.ad521049.z5p-icE79bcLBVBBipcs4g,精神病 医院 三甲 医院 精神科 基本 测试题 开药 坚持 吃药 起效
tb.1.adcb6150.pniQjJV8lrd_rQO51LLzCg,没事 自杀 可不是 解决问题 办法
tb.1.adcc4051.GlxJX0ISmdoIdw3n-Fb2TA,西药 副作用 相信 我治好
tb.1.ae98b69b.fN5bYM7kTnH4Wlj70D6yMA,怕死 彻底 准备 卧轨
tb.1.aeede7c0.TGG_YPjels4nC2PZIquf4g,好看 一禅 没多大 副作用 镇静剂 类似 镇静剂 效果 以后 快点 恢复 别想 简简单单
tb.1.afb0ab11.0kMTRiR7l5TVQRLMbtacSg,先忍 长大 离开
tb.1.afd48e65.WNat216qI4_18sKV-sZ1IQ,上海 有名 中医 治疗 抑郁症 接触 亲朋好友 了解 急需
tb.1.b098559e.3v4BD0VJrSHk4ybH3rz48g,讨厌 几句话 整天 丧个 远离 远离 一切都是 造成 反思 qn 反思 抱抱
tb.1.b0e06cc0.PQvHYrNMVczY_jFEdgMHjQ,可怜 摸摸头 逃出 太阳系 胖虎 痛苦 特别 漂亮 倾诉 美好 倾诉 胖虎 做梦 醒来 没什么 精神 难过 倾诉 胖虎 成功人士 走向 人生 巅峰 倾诉 胖虎 每天 多多 吃饭 优秀 倾诉 元气 满满的 胖虎要 努力 吃饭 努力 睡觉 努力 做梦 倾诉 这辈子 成功人士 憋屈 倾诉 生活 希望 梦里 更加 美好 倾诉 梦到 成功人士 胖虎 朋友 开心 倾诉 想得通 猫咪 自由 飞翔 想得通 小猪 织网 想得通 老鼠 吞掉 大象 想不通 巴萨 输给 拜仁 倾诉 梦里 世界 美好 胖虎 喜欢 晚安 倾诉 明天 明天 反正 睡着 倾诉 虚伪 胖虎 醒来 难过 倾诉 多久 真实 活过 胖虎 记不清 倾诉 希望 多多 睡觉 梦里 美好 倾诉 开心 睡觉 梦里 倾诉 胖虎 晚安 明天 美好 倾诉 倾诉 梦里 成功人士 笑醒 真幸福 倾诉 三天三夜 明白 变成 倾诉 人生 走到 尽头 倾诉 梦里 胖虎要 做梦 倾诉 看着 镜子 双眼 心疼 秒钟 倾诉 快乐 倾诉 无比 聪明 胖虎 倾诉 多年 活过来 胖虎 现实 成就 负数 一无所有 虚假 游戏 不少 成就 胖虎 青春 生活 胖虎 受够了 倾诉 学会 坚强 学会 懦弱 富有 爱心 变得 自私 憧憬未来 变得 堕落 倾诉 穿越 时光 胖虎 成功 倾诉 时光 穿越 胖虎 以后 笑看人生 哈哈哈 倾诉 故事 拼命 赚钱 买房子 发现 房子 涨价 多么 悲惨 故事 可笑 世界 笑对人生 哈哈哈 倾诉 胖虎 研究 优秀 倾诉 年前 励志 优秀 被窝 年前 计划 每天 跑步 被窝 年前 公园 被窝 年前 被窝 被窝 倾诉 胖虎 努力 倾诉 倾诉 美好 吃零食 倾诉 梦醒 难受 倾诉 胖虎 每天 吃饱 睡觉 最美 倾诉 胖虎要 有用 倾诉 胖虎 睡觉 梦里 胖虎 朋友 喜欢 胖虎 就业 形式 严峻 工作 很难 胖虎 失业 好久 楼楼 从业 证书 胖虎 帮楼 分析 分析 胖虎 喜欢 倾诉 梦里 胖虎 富豪 买糖 小心 心甜 夜里 整整 一夜 白天 整整 倾诉 秋天 快要 胖虎 难过 倾诉 胖虎 快乐 事情 胖虎该 乐子 倾诉 胖虎阔 不阔 努力 战胜 心魔 倾诉 美好 胖虎要 吃零食 倾诉 胖虎 真可怜 每天 睡不醒 倾诉 小时候 无私奉献 只想 自私自利 不够 自私自利 可耻 倾诉 胖虎起 倾诉 人理 胖虎 理一理 可怜 胖虎 倾诉 胖虎 可爱 不理 胖虎 倾诉 胖虎 变得 勤劳 倾诉 可爱 胖虎 起床 吃药 按时 吃药 胖虎 超级 阔爱 倾诉 看到 看不到 未来 倾诉 胖虎起 真早 真是 勤劳 胖虎 倾诉 人生 称为 人生 具有 不确定性 人生 终身 胖虎岁 胖虎 人生 无限 人生 魅力 倾诉 胖虎 见过 萤火虫 难过 倾诉 可爱 小胖 倾诉 石头 沉入 大海 胖虎 小心 心会痛 倾诉 提升 自信 可怜 胖虎想 提升 自信 倾诉 白天 胖虎 晚上 睡不着 倾诉 白日梦 做醒 胖虎 睡不着 真阔怜 倾诉 小心 心好 睡不着 倾诉 胖虎活 尊严 自尊 不体面 精致 倾诉 胖虎 睡着 小心 心好 难受 倾诉 美好 倾诉 想到 贫穷 彻夜难眠 胖虎 真可怜 倾诉 胖虎 瞧一瞧 高端 人士 倾诉 朱门酒肉臭 胖虎 猪肉 牛肉 买不起 难过 难过 胖虎要 倾诉 难过 理由 难过 倾诉 单纯 难过 愤怒 难过 胖虎 改变 倾诉 穷人 穷人 何必 为难 穷人 加油 倾诉 可爱 胖虎 倾诉 睡醒 结束 倾诉 可爱 胖虎 倾诉 胖虎起 真早 倾诉 人类 看到 大脑 处理 真实 世界 倾诉 胖虎 努力 倾诉 可爱 胖虎 满血 复活 胖虎 喜欢 猫猫 狗狗 花花草草 胖虎 每天 睡个 猫咪 睡觉 倾诉 胖虎 闭上眼睛 感觉 空间 扭曲 压迫 感觉 倾诉 可怜 胖虎 终于 感觉 疲惫 倾诉 卑微 胖虎想 翻身 倾诉 被子 胖虎 喜欢 被子 倾诉 卑微 小虎 倾诉 拥有 失去 痛苦 倾诉 梦里 成功人士 胖虎 开心 倾诉 大型 儿童 胖虎 中午 中午 认真 emmm 胖虎 emmm 现状 emmm emmm emmm emmm 想要 emmm emmm 纠结 明天 可爱 表情 emmm 梦里 梦里 体重增加 多斤 最好 梦里 好吃 饿肚子 emmm emmm emmm emmm 道理 emmm emmm emmm 太少 emmm 睡前 emmm 厉害 快乐 开心 快乐 转变 内心 评论 瞬间 觉得 动力 emmm 继续 撑下去 emmm emmm 颓废 emmm 感谢 希望 心态 积极 未来 充满 期望 emmm emmm emmm emmm 贫穷 emmm emmm emmm emmm emmm emmm emmm emmm emmm emmm 太懒 emmm emmm emmm emmm 晚上 emmm 楼楼 留意 食品 公司 招聘 信息 看一看 符合 楼楼 专业 工作 不错 emmm emmm emmm emmm emmm emmm emmm emmm 胖虎 喜欢 emmm 帮助 别人 得不到 快乐 emmm emmm emmm 做梦 月薪 百万 emmm 一吨 哪够 反正 梦里 胖虎发 胖虎 难过 发帖 帖子 胖虎 难过 没事 慢慢 emmm emmm 理了 胖虎 胖虎 开心 享受 改变 工地 努力 不错 emmm 一起 加油 真阔 emmm 中秋节 快乐 emmm emmm 有头有脸 有钱 有权有势 开心 胖虎 事情 开心 道理 emmm 胖虎真 厉害 emmm emmm 胖虎 喜欢 睡觉 能吃能喝 朋友 开心 emmm emmm emmm emmm emmm emmm emmm emmm emmm emmm emmm 胖虎 看不懂 emmm emmm emmm emmm emmm emmm emmm 下午 emmm emmm
tb.1.b0f6daa1.BRzLmf83cmRPVYnGTdB7kw,感触 安详 现阶段 不想 养狗 主要 伤不起 第七天 没见 父母 回老家 地方 稀里哗啦 情况 来历 相似 商场 门口 感觉 陌生 差不多 五年 听话 特通 人性 那天 澳门 上午 十点 老爸 电话 家里 几条 瞬间 崩溃 听话 这狗 特别 整天 出门 想不到 爸妈 早上 放狗 估计 回家 到家 没多久 一下子 高颠 两分钟 前天 专门 回家 地方 来钟 希望 以后 托梦 压抑 吃饭 睡觉 做事 心情 经常 百度 找些 减少 痛苦 办法 可爱 好听话 图片 傻子 那天 珠海 机场 发生 解释 周围 感情世界 以后 空闲 估计 还会样 长相 差不多 出事 过多 父母 亲情 动物 感情 复杂 后悔 不听话 打过 遭遇 世界 事情 相似 意外 至今 想不通 它会 养个 需要 精力 东西 爱狗 人才 体会 动物 不同 未必 重情 打过 记仇 女孩子 希望 朋友 天堂 希望 主人 开心 快乐 一不小心 特别 晚上 睡觉 难熬 继续下去 太深 以后 一模一样 善良 人才 体会 聊天 共勉 五包 解忧 聊天 消息 屏幕 顶部 聊天 消息 我发
tb.1.b1565fd1.Poipzl_0MIThLhBpPtH8aw,感觉 焦虑 抑郁 工作 生活 不得志 目标 医院 身心 医学科 诊断 中度 焦虑 轻度 抑郁 中药 治疗 持续 下周一 复诊 焦虑 scl 焦虑 表现 代价 无法 安心 工作 学习 随便 娱乐 东西 工作 时间 内心 背负 极大 压力 愧疚 心里 负担 度日如年 重要 计划 推迟 内心 不甘 恐慌 不去 抑郁 仍然 严重 不想 公司 任何人 说话 自信 工作 成就感 中药 脑子 很木 清楚 问题 工作 环境 问题 生理 问题 心理 问题
tb.1.b1de430b.6jMvrb1BMX60leJbDbSZ2g,倾诉 询问 地方 心情 低落 有时候 上班 吃饭 没人 地方 受不了 别人 生气 语气 说话 嘲笑 地方 地位 工作 嘲笑 背后 严重 不出 别人 说话 朋友 退学 慢慢 别人 说说话 自卑 抑郁 麻烦 大佬
tb.1.b1e58a26.M7A190uxa99j7eS02juVfg,每天 跳个 相信 运动 拯救 运动 好处 磨练意志 促使 合成 血清素 多巴胺
tb.1.b2ad9d57.ID1rhttJpjiNWNH3uwsgtw,人事 紧张 空白 思维能力
tb.1.b2e686fc.erowEPjXiIWguEG7jd-75Q,寝室 大学 我大一 睡眠 挂科 一点多 室友 晚上 打游戏 白天 自习室 补觉 自闭 没清 考得 重修 开学 没什么 卵用 临近 复习 老师 题目 重点
tb.1.b340fe03.7ZWQBnqEUSHWNxzbElr86A,奥氮平 治疗 幻听 有用吗
tb.1.b3bb9739.eFMMqXbNWeGDsS_ZMX6ZeA,遇到 负责 医生 要换 一家 医院 那家 医院 医生 负责 主任医师 她家 亲戚 安排 工作 道德 绑架 助手 医生 零食 投诉 不了了之
tb.1.b3d6465b.fqpMnau-ew-cG5iLm3MyJg,阿姨 生活 相较 房间 东西 坐在 商店 门口 舒服 按时 吃药 早点 睡觉 扁桃体 发炎 难受 吞咽 家庭 好多
tb.1.b4c382da.Cc3GrHXyUMJ8HER5TwdIHw,倾诉 抑郁症 不想 吃饭 我妈 抑郁症 主要症状 不想 吃饭 浑身 无力 吃药 方法 缓解
tb.1.b510650f.wjeyVA_ObGbhmTajf_JOJg,孤立 从小 朋友 环境 问题 导致 抑郁症 理解 感受 一段时间 迫切希望 交到 朋友 发现 努力 办法 融入 感觉 傻子 似得 干脆 放弃 必要 刻意 讨好 别人 意义 必要 交朋友 合不来 交上 朋友 虚假 朋友 表面 朋友 态度 谦虚 友好 着想 大方 自然 朋友 抑郁症 发生 长期 社会 环境 导致 过度 压抑 刺激 难过 事情 导致 过来 相信 抑郁症 在意 重要 乐色 想法 导致 负面 情绪 压抑 心理 释放 解压 剩下 一盒 艾地 苯醌 需要的话 免费 寄给 我放 过期 浪费 告诉 帮到 尽力
tb.1.b534e864.snS1QP8fx7_AY9A8e3q5oQ,倾诉 变态 不想 别人 联系 不想 联系 别人 不想 怕死 有病 恶心 不用 发现 怕死 特别 怕死 总是 念头 洗脑 亲人 伤心 不想 世界 死法 自杀 希望 所有人 失望透顶 放弃 悄悄的 离开 周围 痛苦 熬夜 成天 工作 矫情 有时候 心脏 莫名其妙 痛到 浑身发抖 呼吸困难 全是 冷汗直流 看到 别人 故事 看个 抖音 感动 泪流满面 难受 眼泪 努力 时代 抛弃 整天 床上 只想 努力 划船 用力 用力 努力 时间 用力 用力 用力 回头 同伴 努力 回头 用力 挣扎 身后 努力 挣脱 那双 河底 稍微 回头 挣脱 束缚 听懂 暗示 长相 学历 不够 口才 不够 身体 不好 化妆 努力 不上 不断 学习 配得 抛弃 道理 看到 悄悄的 学习 看到 努力 吃饭 每天 努力 吃饭 不断 体重 看到 努力 往上爬 打击 周围 觉得 多么 洒脱 从来 笑脸 表情 在乎 看到 觉得 伤心 看到 表现 不在乎 觉得 百毒不侵 听到 回答 觉得 毫无 看到 表现 觉得 我无欲 无求 不想 能量 东西 快要 爆炸 现实生活 日记 偷看 偷看 想法 再也 不想 动笔 心里 早就 发现 别人 眼里 异类 没人 医生 临界点 感觉 越来越 控制 自救 周围 救救 现实 没人 求救信号 不对劲 觉得 不想 努力 拖后腿 真想 认识 地方 眼红 机会 准备 糟糕 向前 朋友 爱上 不该 理解 不怎么 点儿 失眠 生活 明白 解决 成年人 崩溃 从来 悄声 无息 一滴水 足以 山崩地裂 掏心 掏肺 对待 小猫 小狗 点儿 情绪 一点儿 感觉 明明 挨着 看来 却是 无病呻吟 好笑 脑子里 全是 疯狂 想法 旁边 总是 小人 想法 装进 黑匣子 好久好久 装满 黑匣子 装满 出现 黑匣子 荒唐 无理取闹 好笑 明天 点要 早起 医院 毫无 睡意 里面 看到 图片 故事 没什么 人有 时间 故事 没什么 在乎 歇斯底里 没人 想要 怕人 明白 假装 假装 清楚 正常 比较 贪心 我怕 自杀 觉得 抑郁症 不算 偶然 丢失 东西 忘记 回来 曾经 告诉 任何人 突然 那一刻 熟悉 就够 有天 其他人 期待 失望 奢求 贪心 可太多 公司 解散 失业 创业 失败 赔钱 上班 背后 一刀 失业 失业 所有人 看清 不够 优秀 糟糕 多久 不用 担心 花钱 轻松 每天 没见 辛苦 资格 喊累 看到 月份 从早到晚 外面 家里 吃饭 生活用品 杂七杂八 花费 担心 需要 买好 头发 大把大把 整夜 整夜 睡不着 每天 回家 做饭 不累 别人 矫情 不累 创业 合伙人 联合 排挤 指责 睡不着 手机 手上 伤口 猫爪 上班 回来 做饭 上班 失业 在家 焦虑不安 眼里 贪玩 矫情 不懂事 糟糕 地被 拒绝 挫败 自我 怀疑 否定 太重 压得 透不过气 没人 期望 害怕 倾诉 害怕 变成 别人 口中 笑话 感觉 越来越 糟糕 身体状况 不好 周围 清楚 透支 事情 自欺欺人 自作多情 变成 讨厌 有点儿 糟糕 控制 脾气 没意思 失望 早就 习惯 点儿 时间 慢慢 放手 若有 消失 半夜 突然 醒来 想到 泣不成声 心累 无数个 放弃 念头 坚持 矫情 太闲 没事找事 苦苦 挣扎 满身 看不到 希望 假装 伤心 假装 难受 所有人 希望 努力 控制 情绪 忍不住 放弃 提醒 过段时间 放弃 慢慢 我快 坚持 告诉 所有人 担心 说服 好笑 不好 资格 放声大哭 无力 耳光 一是 眼瞎 犯贱 三是 没用 这次 放不下 期望 以后 确实 理解 失望 走进 胡同 里面 达到 期望 世界 自杀 绝对
tb.1.b5a446de.LTRms5_gIW5lWIh84ddGDw,失去 交心 朋友 心如 死水 过来 失去 交心 朋友 朋友 扯淡 聊天 悲伤 逆流 成河 感觉 遇到 朋友 三观 脾气 善良 心里 说不出 滋味 感觉 行尸走肉 灵魂 呜呜 呜呜 呜呜 痛苦 难受 自责 悔恨 挽回 质疑 过分 记在 心上 主动 放弃 时间 慢慢 释怀 做错 承担 后果 只怪 自以为是 不知 信任 朋友 真谛 特别 特别 挽回 后悔药 哈哈哈 无意间 进来 抑郁 感谢 抱抱
tb.1.b61f3a50.Rc9zWsBgGWwgiqKq3WrtBQ,图片 后面 那栋 房子 岁月 感觉 回复 xia HW 省市 回复 xia HW 机会 流浪 流浪
tb.1.b72c70ff.lVJfAu_jj2IPqUVsSFslvw,模仿 笔记 建议 休学
tb.1.b8ee268e.naD4ytOBqQ33-XdTxKcWfw,抑郁 精神 变得 焦虑 焦虑 感觉 闷得 不行
tb.1.b9fea6ff.i_sf3jKm2bLaIP2Okr4Bdw,想法 留在 世上 父母 牵挂
tb.1.ba573ec9.Owx7um4svGuDgX6WvQXNDA,抱抱 问下 确诊 宁波 抱抱 抱抱 大家
tb.1.bb08d3c1.FvuPXl7p89UOvPasmylyEg,心理医生 脑科 医生 哦哦哦
tb.1.bee0d4b5.lXmpfLGPH420AzVVFUz1dw,感觉 我妈 恶心 房间 窗帘 拉上 门锁 家长 多管 我妈 恶心 直接 厨房 跳过来 房间 拉开 窗帘 把门 打开 那天 裸睡 醒来 特别 尴尬 清楚 宁外 房间 房间 窗户 通向 外面 家住 八楼 直接 钥匙 觉得 神经病 特别 反常
tb.1.befba1f6.ngMuHuC9f_Y7Z360jScDrw,感觉 抑郁 复发 想想 敢死 孩子 连死 单位 勇气 不想 看到 母亲 不能自己
tb.1.bf32ff06.5nEaY63lGEV7GiPLqvQQDA,看到 病情 模糊 怀疑 怀疑 医生 测量 表不 准确 仪器 准确 测量 测出 重度 医生 仪器 测出 中度 看到 激动 抑郁 未来 压抑 一辈子 压抑 彻底 放弃 不想 吃药 拒绝 治疗 有时候 吃药 想着 坚持 多久 好好学习 工作 生活 正常人 熟悉 目前 发现 最大 区别 脾气 不好 脾气 胆小 压抑
tb.1.c0b05039.D7DN3cJqkuPGaqQUAKg2iw,不知 离开 感情 怪物 感情 喜欢 黑夜 喜欢 孤独 情绪 焦躁 不安 适者生存 适合
tb.1.c143273c.fZgDC0cyS8jqoQv98FUFjg,活着 坚强 怕死 怕死 父母 加油 抱抱 生不如死 同龄 抑郁症 熬夜 习惯 昨晚 看不起 说真的 自控 能力 无法 集中 注意力 抑郁 患者 胡思乱想 工作 孩子 多大 想法 倾诉 聊天 倾诉 不想 不想 出门 说真的 心情 倾诉 桥洞 感觉 倾诉 心里 医生 帮帮我 倾诉 没睡 倾诉 关闭 联系方式 陌生 地方 生活 倾诉 聊天 相信 无所谓 随便 别人 活着 哪有 容易 头涨 难受 胡思乱想 放空 抑郁 医院 忍受 好几年 离不开 烟酒 最好 心里 医生
tb.1.c177729e.CoQFyAX_3DcaivW0uJNgSA,算一天 至少 价值 懒得 无钱 无色
tb.1.c1a6fad5.Nm6P8PbLQtTUuUeuXrXvJg,感觉 三观 加油
tb.1.c1ec3834.W9MjyvngQG6KMTdTuU8vUw,目标 梦想 不想 上班 不想 工作 不想 社交 不想 活成 讨厌 好烦 上班 工作 难过 结婚 难受 目标 折磨 接受 难受 难受 觉得 可怕 难受 毕业 难受 觉得 经历 社会 经验 恐惧 世间 苦乐 烦恼 恐惧 逃避 妻儿 至少 目标 想干什么 加油 丈夫 孩子 另一半 互相照顾 鼓励 没事 至少 工作 活着 难受 感觉 没用 不想 亲戚 说话 很累 大叔 握手 结婚 干嘛 工作 觉得 工作 不好 出去玩 抑郁 想法 聚在一起 心里 负担 觉得 大家 互相理解 慢慢 难受 调整 心态 生活 难受
